Code,UID,Name,Short name,Aggregation operator,Domain type,Description,value type,Form name,Zero is significant,url,Category combination UID,,,,
,fhFeeFlAKAC,DV_002 Is this a supervisor validation check of a facility?,DV_002 Is this a supervisor validation check of a ,COUNT,TRACKER,,TEXT,DV_002 Is this a supervisor validation check of a facility?,FALSE,,OzshuDqmXQI,,,,
,bTwmz2wzldZ,DV_007 Type of Facility,DV_007 Type of Facility,NONE,TRACKER,,TEXT,DV_007 Type of Facility,FALSE,,OzshuDqmXQI,,,,
,MhiVMAWpjcH,DV_008 Managing authority,DV_008 Managing authority,COUNT,TRACKER,,TEXT,DV_008 Managing authority,FALSE,,OzshuDqmXQI,,,,
,nLglfmb9rQr,DV_009 Urban/rural,DV_009 Urban/rural,COUNT,TRACKER,,TEXT,DV_009 Urban/rural,FALSE,,OzshuDqmXQI,,,,
,q0VQOOIV3tu,DV_011 Waypoint name,DV_011  Waypoint name,SUM,TRACKER,,TEXT,DV_011 Waypoint name,FALSE,,OzshuDqmXQI,,,,
,wXWBmeMFuhL,DV_012 Altitude,DV_012 Altitude,SUM,TRACKER,,INTEGER,DV_012 Altitude,FALSE,,OzshuDqmXQI,,,,
,NkD1Wwt8DSA,DV_013 Latitude,DV_013 Latitude,SUM,TRACKER,,INTEGER,DV_013 Latitude,FALSE,,OzshuDqmXQI,,,,
,OOi5AW74ZqH,DV_014 Longitude,DV_014 Longitude,SUM,TRACKER,,INTEGER,DV_014 Longitude,FALSE,,OzshuDqmXQI,,,,
,CbW69ZtA6K2,DV_015 May I begin the interview?,DV_015 May I begin the interview?,COUNT,TRACKER,,TEXT,DV_015 May I begin the interview?,FALSE,,OzshuDqmXQI,,,,
,FP3nMAgvkcr,DV_016 INTERVIEW START TIME (use the 24 hour-clock system),DV_016 INTERVIEW START TIME (use the 24 hour-clock,COUNT,TRACKER,,NUMBER,DV_016 INTERVIEW START TIME (use the 24 hour-clock system),FALSE,,OzshuDqmXQI,,,,
,Bk1MBl5M5Sl,DV_100 Does this facility provide antenatal care services?,DV_100 Does this facility provide antenatal care s,COUNT,TRACKER,,TEXT,DV_100 Does this facility provide antenatal care services?,FALSE,,OzshuDqmXQI,,,,
,wS7t15eHqNr,DV_101 Does this facility report ANC data to a reporting system?,DV_101 Does this facility report ANC data to a rep,COUNT,TRACKER,,TEXT,DV_101 Does this facility report ANC data to a reporting system?,FALSE,,OzshuDqmXQI,,,,
,KH5Zvohk7ok,DV_102:01 Health Management Information System,DV_102:01 Health Management Information System,COUNT,TRACKER,,TEXT,,FALSE,,OzshuDqmXQI,,,,
,yBygwslYqOj,DV_102:02 Programme Specific Reporting System,DV_102:02 Programme Specific Reporting System,COUNT,TRACKER,,TEXT,,FALSE,,OzshuDqmXQI,,,,
,GWJVU96G40C,DV_102:03 Non-govermental Organizations or Institutions,DV_102:03 Non-govermental Organizations or Institu,COUNT,TRACKER,,TEXT,,FALSE,,OzshuDqmXQI,,,,
,O5d4H8V8xr5,DV_102:04 Other Reporting System,DV_102:04 Other Reporting System,COUNT,TRACKER,,LONG_TEXT,,FALSE,,OzshuDqmXQI,,,,
,hn1rKLfbxoe,DV_103:01 ANC register or Intergrated ANC Register,DV_103:01 ANC register or Intergrated ANC Register,COUNT,TRACKER,,TEXT,,FALSE,,OzshuDqmXQI,,,,
,l61U104ejjc,DV_103:02 ANC Tally Sheets,DV_103:02 ANC Tally Sheets,COUNT,TRACKER,,TEXT,,FALSE,,OzshuDqmXQI,,,,
,FwyIdpowbuo,DV_103:03 Patient cards,DV_103:03 Patient cards,COUNT,TRACKER,,TEXT,,FALSE,,OzshuDqmXQI,,,,
,JCc6yk2Vigq,DV_103:04 other,DV_103:04 other,COUNT,TRACKER,,LONG_TEXT,,FALSE,,OzshuDqmXQI,,,,
,tgUnydZzfjh,DV_103 Which of the following documents are used at this facility to record the number of pregnant women receiving antenatal care:,DV_103 Which of the following documents are used a,COUNT,TRACKER,,TEXT,DV_103 Which of the following documents are used at this facility to record the number of pregnant women receiving antenatal care:,FALSE,,OzshuDqmXQI,,,,
,Ts1RdhE0XEF,DV_104 What is the source document used by this facility for monthly reporting of antenatal care services? ,DV_104 What is the source document used by this fa,COUNT,TRACKER,,INTEGER,DV_104 What is the source document used by this facility for monthly reporting of antenatal care services? We are primarily interested in the main document that is used for compiling the total number of ANC1 visits seen ,FALSE,,OzshuDqmXQI,,,,
,KszOCVh9cFR,DV_105:01 Month1,DV_105:01 Month1,COUNT,TRACKER,,INTEGER,DV_105:01 Month1,FALSE,,OzshuDqmXQI,,,,
,WLzYbT1IMt8,DV_105:01 Month1 Recount number of ANC1,DV_105:01 Month1 Recount number of ANC1,SUM,TRACKER,,INTEGER,,FALSE,,OzshuDqmXQI,,,,
,n6z9nr51nz9,DV_105:02 Month2,DV_105:02 Month2,COUNT,TRACKER,,INTEGER,DV_105:02 Month2,FALSE,,OzshuDqmXQI,,,,
,k1XjocMSsZa,DV_105:02 Month2 Recount number of ANC2,DV_105:02 Month2 Recount number of ANC2,SUM,TRACKER,,INTEGER,,FALSE,,OzshuDqmXQI,,,,
,O5gVeC5MYH1,DV_105 :03 Month3,DV_105 :03 Month3,COUNT,TRACKER,,INTEGER,DV_105 :03 Month3,FALSE,,OzshuDqmXQI,,,,
,no3qst8KC4Q,DV_105 :03 Month3 Recount number of ANC3,DV_105 :03 Month3 Recount number of ANC3,SUM,TRACKER,,INTEGER,,FALSE,,OzshuDqmXQI,,,,
,Jatg3nsiZoA,"DV_105 Please confirm the availability of the source document for antenatal care visits for Month1 to Month3. If available, please recount the number of ANC1 visits recorded in the main source document for Month1 to Month3.",DV_105 Please confirm the availability of the sour,SUM,TRACKER,,INTEGER,"DV_105 Please confirm the availability of the source document for antenatal care visits for Month1 to Month3. If available, please recount the number of ANC1 visits recorded in the main source document for Month1 to Month3.",FALSE,,OzshuDqmXQI,,,,
,gI1BJkPqaze,DV_106:01 Month1,DV_106:01 Month1,COUNT,TRACKER,,INTEGER,DV_106:01 Month1,FALSE,,OzshuDqmXQI,,,,
,Vsb4z7O5EdW,DV_106:01 Month1 record the number of ANC1 visits recorded in the monthly report,DV_106:01 Month1 record the number of ANC1 visits ,SUM,TRACKER,,INTEGER,,FALSE,,OzshuDqmXQI,,,,
,Syi61PLvobX,DV_106:02 Month2,DV_106:02 Month2,COUNT,TRACKER,,INTEGER,DV_106:02 Month2,FALSE,,OzshuDqmXQI,,,,
,VBTEndrFyZl,DV_106:02 Month2 record the number of ANC1 visits recorded in the monthly report,DV_106:02 Month2 record the number of ANC1 visits ,SUM,TRACKER,,INTEGER,,FALSE,,OzshuDqmXQI,,,,
,AMwwBmYjJqz,DV_106:03 Month3,DV_106:03 Month3,COUNT,TRACKER,,INTEGER,DV_106:03 Month3,FALSE,,OzshuDqmXQI,,,,
,kJXhYWlwjM7,DV_106:03 Month3 record the number of ANC1 visits recorded in the monthly report,DV_106:03 Month3 record the number of ANC1 visits ,SUM,TRACKER,,INTEGER,,FALSE,,OzshuDqmXQI,,,,
,N4uSSNb5OaJ,"DV_106 Please confirm the availability of the monthly report for antenatal care visits for Month1 to Month3. If available, please record the number of ANC1 visits recorded in the monthly report for Month1 to Month3.",DV_106 Please confirm the availability of the mont,SUM,TRACKER,,INTEGER,"DV_106 Please confirm the availability of the monthly report for antenatal care visits for Month1 to Month3. If available, please record the number of ANC1 visits recorded in the monthly report for Month1 to Month3.",FALSE,,OzshuDqmXQI,,,,
,wKPq8XhopEU,DV_107 What are the reasons for the discrepancy (if any) observed between the main source document and the monthly report?,DV_107 What are the reasons for the discrepancy (i,COUNT,TRACKER,,INTEGER,DV_107 What are the reasons for the discrepancy (if any) observed between the main source document and the monthly report?,FALSE,,OzshuDqmXQI,,,,
,WFyV09qQiMy,DV_200 Does this facility provide immunization services?,DV_200 Does this facility provide immunization ser,COUNT,TRACKER,,TEXT,DV_200 Does this facility provide immunization services?,FALSE,,OzshuDqmXQI,,,,
,quuEu2lLa8P,DV_201 Does this facility report immunization data to a reporting system?,DV_201 Does this facility report immunization data,COUNT,TRACKER,,TEXT,DV_201 Does this facility report immunization data to a reporting system?,FALSE,,OzshuDqmXQI,,,,
,sDwFycDKVAO,DV_202:01 Health Management Information System,DV_202:01 Health Management Information System,COUNT,TRACKER,,BOOLEAN,DV_202:01 Health Management Information System,FALSE,,OzshuDqmXQI,,,,
,WOHPSRsiB4i,DV_202:02 Programme Specific Reporting System,DV_202:02 Programme Specific Reporting System,COUNT,TRACKER,,BOOLEAN,DV_202:02 Programme Specific Reporting System,FALSE,,OzshuDqmXQI,,,,
,n60gAXCgDA4,DV_202:03 Non-govermental Organizations or Institutions,DV_202:03 Non-govermental Organizations or Institu,COUNT,TRACKER,,BOOLEAN,DV_202:03 Non-govermental Organizations or Institutions,FALSE,,OzshuDqmXQI,,,,
,rHPsFCXD1VT,DV_202:04 Other Reporting System,DV_202:04 Other Reporting System,COUNT,TRACKER,,LONG_TEXT,DV_202:04 Other Reporting System,FALSE,,OzshuDqmXQI,,,,
,bPAymYzH6cG,DV_202 Immunization/EPI programme,EPI,NONE,TRACKER,,TEXT,DV_202 Immunization/EPI programme,FALSE,,OzshuDqmXQI,,,,
,gw8Xemvj6LN,DV_202 Non-govermental Organization or Institutions,NGO,NONE,TRACKER,,TEXT,DV_202 Non-govermental Organization or Institutions,FALSE,,OzshuDqmXQI,,,,
,ByGBYiDG6ay,DV_202 Which of the following reporting system(s) does the facility report immunization data to:,DV_202Which of the following reporting system(s) d,SUM,TRACKER,,BOOLEAN,DV_202 Which of the following reporting system(s) does the facility report immunization data to:,FALSE,,OzshuDqmXQI,,,,
,FGe4p1nkluw,DV_203:01 Child register or child immunization register ,DV_203:01 Child register or child immunization reg,COUNT,TRACKER,,BOOLEAN,DV_203:01 Child register or child immunization register ,FALSE,,OzshuDqmXQI,,,,
,FjW0y8MwrSj,DV_203:02 Immunization tally sheets,DV_203:02 Immunization tally sheets,COUNT,TRACKER,,BOOLEAN,DV_203:02 Immunization tally sheets,FALSE,,OzshuDqmXQI,,,,
,Lfys1dBIYVa,DV_203:03 Child health cards or child immunization cards ,DV_203:03 Child health cards or child immunization,COUNT,TRACKER,,BOOLEAN,DV_203:03 Child health cards or child immunization cards ,FALSE,,OzshuDqmXQI,,,,
,IQ8BxcKjehk,DV_203:04 Other,DV_203:04 Other,COUNT,TRACKER,,BOOLEAN,DV_203:04 Other,FALSE,,OzshuDqmXQI,,,,
,nSudwMkt8rB,DV_203 Other immunization document (specify),DV_203 Other immunization document (specify),NONE,TRACKER,,LONG_TEXT,,FALSE,,OzshuDqmXQI,,,,
,DKcCmSosZWn,DV_203 Which of the following documents are used at this facility to record the number of children getting immunized:,DV_203Which of the following documents are used at,SUM,TRACKER,,BOOLEAN,DV_203 Which of the following documents are used at this facility to record the number of children getting immunized:,FALSE,,OzshuDqmXQI,,,,
,YVNsaR4vsaf,DV_204What is the source document used by this facility for monthly reporting of DTP (Penta)?<U+FFFD> We are primarily interested in the main document that is used for compiling monthly summary statistics for DTP (Penta). Please report i,DV_204What is the source document used by this fac,COUNT,TRACKER,,TEXT,,FALSE,,OzshuDqmXQI,,,,
,KnbvcWfeFEb,DV_205:01 Month1,DV_205:01 Month1,COUNT,TRACKER,,INTEGER,DV_205:01 Month1,FALSE,,OzshuDqmXQI,,,,
,yb5gLg3Ovoj,DV_205:01 Month1 Recount the number of DTP3 (penta3) immunizations,DV_205:01 Month1 Recount the number of DTP3 (penta,SUM,TRACKER,,INTEGER,,FALSE,,OzshuDqmXQI,,,,
,Sh1oipi1Xco,DV_205:02 Month2,DV_205:02 Month2,COUNT,TRACKER,,INTEGER,DV_205:02 Month2,FALSE,,OzshuDqmXQI,,,,
,jv0tu17ZxSJ,DV_205:02 Month2 Recount the number of DTP3 (penta3) immunizations,DV_205:02 Month2 Recount the number of DTP3 (penta,SUM,TRACKER,,INTEGER,,FALSE,,OzshuDqmXQI,,,,
,KA7GxReLYXS,DV_205 :03 Month3,DV_205 :03 Month3,COUNT,TRACKER,,INTEGER,DV_205 :03 Month3,FALSE,,OzshuDqmXQI,,,,
,hjwcN6qHxzm,DV_205 :03 Month3 Recount the number of DTP3 (penta3) immunizations,DV_205 :03 Month3 Recount the number of DTP3 (pent,SUM,TRACKER,,INTEGER,,FALSE,,OzshuDqmXQI,,,,
,Nme9Wgam74W,"DV_205 Please confirm the availability of source documents for DTP3 (Penta3) for Month1 to Month3. If available, please Recount the number of DTP3 (penta3) immunizations recorded in the main source document for Month1 to Month3.",DV_205 Please confirm the availability of source d,COUNT,TRACKER,,BOOLEAN,"DV_205 Please confirm the availability of source documents for DTP3 (Penta3) for Month1 to Month3. If available, please Recount the number of DTP3 (penta3) immunizations recorded in the main source document for Month1 to Month3.",FALSE,,OzshuDqmXQI,,,,
,yIVsvXSY5Cy,DV_206:01 Month1,DV_206:01 Month1,COUNT,TRACKER,,INTEGER,DV_206:01 Month1,FALSE,,OzshuDqmXQI,,,,
,iZrtA6euzfo,DV_206:01 Month1 report the number of DTP3 (penta3) immunizations recorded in the EPI monthly,DV_206:01 Month1 report the number of DTP3 (penta3,SUM,TRACKER,,INTEGER,,FALSE,,OzshuDqmXQI,,,,
,Tmn6G9wQlTZ,DV_206:02 Month2,DV_206:02 Month2,COUNT,TRACKER,,INTEGER,DV_206:02 Month2,FALSE,,OzshuDqmXQI,,,,
,RnTgU4mOiu2,DV_206:02 Month2 report the number of DTP3 (penta3) immunizations recorded in the EPI monthly,DV_206:02 Month2 report the number of DTP3 (penta3,SUM,TRACKER,,INTEGER,,FALSE,,OzshuDqmXQI,,,,
,dY9J3IslT0z,DV_206 :03 Month3,DV_206 :03 Month3,COUNT,TRACKER,,INTEGER,DV_206 :03 Month3,FALSE,,OzshuDqmXQI,,,,
,xzn94dYmjui,DV_206 :03 Month3 report the number of DTP3 (penta3) immunizations recorded in the EPI monthly,DV_206 :03 Month3 report the number of DTP3 (penta,SUM,TRACKER,,INTEGER,,FALSE,,OzshuDqmXQI,,,,
,pUfgzRAw8tV,"DV_206 Please confirm the availability of monthly reports for Month1 to Month3. If available, please report the number of DTP3 (penta3) immunizations recorded in the EPI monthly reports for Month1 to Month3.",DV_206Please confirm the availability of monthly r,SUM,TRACKER,,BOOLEAN,"DV_206 Please confirm the availability of monthly reports for Month1 to Month3. If available, please report the number of DTP3 (penta3) immunizations recorded in the EPI monthly reports for Month1 to Month3.",FALSE,,OzshuDqmXQI,,,,
,GqF44B70Pze,DV_207 What are the reasons for the discrepancy,DV_207 What are the reasons for the discrepancy,COUNT,TRACKER,,INTEGER,DV_207 What are the reasons for the discrepancy,FALSE,,OzshuDqmXQI,,,,
,g4ovn2gN0p9,DV_300 Does this facility provide ART?,DV_300Does this facility provide ART?,SUM,TRACKER,,BOOLEAN,DV_300 Does this facility provide ART?,FALSE,,OzshuDqmXQI,,,,
,UitylWey1ST,DV_301:01 Health Management Information System,DV_301:01 Health Management Information System,COUNT,TRACKER,,BOOLEAN,DV_102:01 Health Management Information System,FALSE,,OzshuDqmXQI,,,,
,RuDr2oOF7vR,DV_301:02 National HIV/AIDS program ,DV_301:02 National HIV/AIDS program ,COUNT,TRACKER,,BOOLEAN,DV_102:02 National HIV/AIDS program ,FALSE,,OzshuDqmXQI,,,,
,CxzZtQE8u8r,DV_301:03 Non-govermental Organizations or Institutions,DV_301:03 Non-govermental Organizations or Institu,COUNT,TRACKER,,BOOLEAN,DV_102:03 Non-govermental Organizations or Institutions,FALSE,,OzshuDqmXQI,,,,
,jco9FrsYRgE,DV_301:04 Other Reporting System,DV_301:04 Other Reporting System,COUNT,TRACKER,,BOOLEAN,DV_102:04 Other Reporting System,FALSE,,OzshuDqmXQI,,,,
,dwiv8QmT6Y8,DV_301 Does this facility report the number of patients on ART to a reporting system?,DV_301Does this facility report the number of pati,SUM,TRACKER,,BOOLEAN,DV_301 Does this facility report the number of patients on ART to a reporting system?,FALSE,,OzshuDqmXQI,,,,
,ntI362SS8GO,DV_302:01 Health Management Information System,DV_302:01 Health Management Information System,COUNT,TRACKER,,BOOLEAN,DV_302:01 Health Management Information System,FALSE,,OzshuDqmXQI,,,,
,HFgc2q4abAr,DV_302:02 National HIV/AIDS program ,DV_302:02 National HIV/AIDS program ,COUNT,TRACKER,,BOOLEAN,DV_302:02 National HIV/AIDS program ,FALSE,,OzshuDqmXQI,,,,
,btSi4pASigy,DV_302:03 Non-governmental organizations or institutions,DV_302:03 Non-governmental organizations or instit,COUNT,TRACKER,,BOOLEAN,DV_302:03 Non-governmental organizations or institutions,FALSE,,OzshuDqmXQI,,,,
,VoIlmnJP6Ly,DV_302:04 Other reporting system,DV_302:04 Other reporting system,COUNT,TRACKER,,LONG_TEXT,DV_302:04 Other reporting system,FALSE,,OzshuDqmXQI,,,,
,AhIry97ULmx,DV_302 Which of the following reporting system(s) does the facility report delivery of ART:,DV_302Which of the following reporting system(s) d,SUM,TRACKER,,BOOLEAN,DV_302 Which of the following reporting system(s) does the facility report delivery of ART:,FALSE,,OzshuDqmXQI,,,,
,AIrTBl5OWVI,DV_303:01 Pre-ART register,DV_303:01 Pre-ART register,COUNT,TRACKER,,BOOLEAN,DV_303:01 Pre-ART register,FALSE,,OzshuDqmXQI,,,,
,pK3XiniDCxl,DV_303:02 ART tally sheets,DV_303:02 ART tally sheets,COUNT,TRACKER,,BOOLEAN,DV_303:02 ART tally sheets,FALSE,,OzshuDqmXQI,,,,
,cXvJBOBNnQO,DV_303:03 Patient cards(HIV care/ART cards),DV_303:03 Patient cards(HIV care/ART cards),COUNT,TRACKER,,BOOLEAN,DV_303:03 Patient cards(HIV care/ART cards),FALSE,,OzshuDqmXQI,,,,
,DEQ5vD6taTC,DV_303:04 ART register,DV_303:04 ART register,COUNT,TRACKER,,BOOLEAN,DV_303:04 ART register,FALSE,,OzshuDqmXQI,,,,
,wbY8kRAlkxU,DV_303:05 Other,DV_303:05 Other,COUNT,TRACKER,,LONG_TEXT,DV_303:05 Other,FALSE,,OzshuDqmXQI,,,,
,cK42XUBsPdx,DV_303 Which of the following documents are used at this facility to record the number of patients on ART:,DV_303Which of the following documents are used at,SUM,TRACKER,,BOOLEAN,DV_303 Which of the following documents are used at this facility to record the number of patients on ART:,FALSE,,OzshuDqmXQI,,,,
,Ln06rNyY0Uw,DV_304What is the source document used by this facility for monthly reporting of number of patients on ART? We are primarily interested in the main document that is used for compiling the total number of patients on ART seen at th,DV_304What is the source document used by this fac,COUNT,TRACKER,,TEXT,,FALSE,,OzshuDqmXQI,,,,
,r4LZVTmIqJj,DV_305:01 Month1,DV_305:01 Month1,COUNT,TRACKER,,INTEGER,DV_305:01 Month1,FALSE,,OzshuDqmXQI,,,,
,XfPgYsQn5Fj,DV_305:01 Month1  recount the number of PATIENTS ON ART,DV_305:01 Month1  recount the number of PATIENTS O,SUM,TRACKER,,INTEGER,,FALSE,,OzshuDqmXQI,,,,
,A2ViqAqMItn,DV_305:02 Month2,DV_305:02 Month2,COUNT,TRACKER,,INTEGER,DV_305:02 Month2,FALSE,,OzshuDqmXQI,,,,
,c7Bn2IULajO,DV_305:02 Month2  recount the number of PATIENTS ON ART,DV_305:02 Month2  recount the number of PATIENTS O,SUM,TRACKER,,INTEGER,,FALSE,,OzshuDqmXQI,,,,
,moGF0krOeYL,DV_305 :03 Month3,DV_305 :03 Month3,COUNT,TRACKER,,INTEGER,DV_305 :03 Month3,FALSE,,OzshuDqmXQI,,,,
,HrT7PenkiUU,DV_305 :03 Month3  recount the number of PATIENTS ON ART,DV_305 :03 Month3  recount the number of PATIENTS ,SUM,TRACKER,,INTEGER,,FALSE,,OzshuDqmXQI,,,,
,PXLJv4lJ8oK,"DV_305Please confirm the availability of the source document for use at the facility to compile the number of PATIENTS ON ART for Month1 to Month3. If available, please recount the number of PATIENTS ON ART recorded in the main so",DV_305Please confirm the availability of the sourc,SUM,TRACKER,,BOOLEAN,,FALSE,,OzshuDqmXQI,,,,
,q6vo9zYeyPD,DV_306:01 Month1,DV_306:01 Month1,COUNT,TRACKER,,INTEGER,DV_306:01 Month1,FALSE,,OzshuDqmXQI,,,,
,ahxiHY1xIYB,DV_306:01 Month1  record the number of PATIENTS ON ART as recorded,DV_306:01 Month1  record the number of PATIENTS ON,SUM,TRACKER,,INTEGER,,FALSE,,OzshuDqmXQI,,,,
,WFFpgbiU5JX,DV_306:02 Month2,DV_306:02 Month2,COUNT,TRACKER,,INTEGER,DV_306:02 Month2,FALSE,,OzshuDqmXQI,,,,
,slPM2DaXPi9,DV_306:02 Month2  record the number of PATIENTS ON ART as recorded,DV_306:02 Month2  record the number of PATIENTS ON,SUM,TRACKER,,INTEGER,,FALSE,,OzshuDqmXQI,,,,
,SKH9cEovzl1,DV_306 :03 Month3,DV_306 :03 Month3,COUNT,TRACKER,,INTEGER,DV_306 :03 Month3,FALSE,,OzshuDqmXQI,,,,
,KsM7ox6JWBc,DV_306 :03 Month3  record the number of PATIENTS ON ART as recorded,DV_306 :03 Month3  record the number of PATIENTS O,SUM,TRACKER,,INTEGER,,FALSE,,OzshuDqmXQI,,,,
,CFMPlyWkgcs,"DV_306 Please confirm the availability of the monthly report for number of PATIENTS ONART for Month1 to Month3. If available, please record the number of PATIENTS ON ART as recorded in the monthly report for Month1 to Month3.",DV_306Please confirm the availability of the month,SUM,TRACKER,,BOOLEAN,"DV_306 Please confirm the availability of the monthly report for number of PATIENTS ONART for Month1 to Month3. If available, please record the number of PATIENTS ON ART as recorded in the monthly report for Month1 to Month3.",FALSE,,OzshuDqmXQI,,,,
,tzEuXZRoSoD,DV_307 What are the reasons for the discrepancy (if any) observed between the main source document and the monthly report?,DV_307 What are the reasons for the discrepancy (i,COUNT,TRACKER,,INTEGER,DV_307 What are the reasons for the discrepancy (if any) observed between the main source document and the monthly report?,FALSE,,OzshuDqmXQI,,,,
,A4HqrYZ9qJL,DV_400 Does this facility provide TB diagnosis and/or treatment?,DV_400Does this facility provide TB diagnosis and/,SUM,TRACKER,,BOOLEAN,DV_400 Does this facility provide TB diagnosis and/or treatment?,FALSE,,OzshuDqmXQI,,,,
,UxbK7d7JyVl,DV_401 Does this facility report the total number of TB cases (all types) to a reporting system?,DV_401Does this facility report the total number o,SUM,TRACKER,,BOOLEAN,DV_401 Does this facility report the total number of TB cases (all types) to a reporting system?,FALSE,,OzshuDqmXQI,,,,
,e1SprYDNMs9,DV_402:01 Health Management Information System,DV_402:01 Health Management Information System,COUNT,TRACKER,,BOOLEAN,DV_402:01 Health Management Information System,FALSE,,OzshuDqmXQI,,,,
,xFyW9rh3lJX,DV_402:02 National TB Program ,DV_402:02 National TB Program ,COUNT,TRACKER,,BOOLEAN,DV_402:02 National TB Program ,FALSE,,OzshuDqmXQI,,,,
,Cnc6nj9xwvh,DV_402:03 Non-govermental Organizations or Institutions,DV_402:03 Non-govermental Organizations or Institu,COUNT,TRACKER,,BOOLEAN,DV_402:03 Non-govermental Organizations or Institutions,FALSE,,OzshuDqmXQI,,,,
,UKFyruK67Fw,DV_402:04 Other Reporting System,DV_402:04 Other Reporting System,COUNT,TRACKER,,LONG_TEXT,DV_402:04 Other Reporting System,FALSE,,OzshuDqmXQI,,,,
,jmV8yOHkdSx,DV_402 Which of the following reporting system(s) does the facility report total number of TB cases (all types) to:,DV_402Which of the following reporting system(s) d,SUM,TRACKER,,BOOLEAN,DV_402 Which of the following reporting system(s) does the facility report total number of TB cases (all types) to:,FALSE,,OzshuDqmXQI,,,,
,ifgj5SnfYgR,DV_403:01 TB Register,DV_403:01 TB Register,COUNT,TRACKER,,BOOLEAN,DV_403:01 TB Register,FALSE,,OzshuDqmXQI,,,,
,rrhkPG52s3J,DV_403:02 Presumtive TB register(TB suspects),DV_403:02 Presumtive TB register(TB suspects),COUNT,TRACKER,,BOOLEAN,DV_403:02 Presumtive TB register(TB suspects),FALSE,,OzshuDqmXQI,,,,
,c4Mx7fJtO8a,DV_403:03 Patient Cards(TB treatment cards),DV_403:03 Patient Cards(TB treatment cards),COUNT,TRACKER,,BOOLEAN,DV_403:03 Patient Cards(TB treatment cards),FALSE,,OzshuDqmXQI,,,,
,OYoEqCbzyZI,DV_403:04 TB laboratory Register,DV_403:04 TB laboratory Register,COUNT,TRACKER,,BOOLEAN,DV_403:04 TB laboratory Register,FALSE,,OzshuDqmXQI,,,,
,BKDicWsWvUU,DV_403:05 Outpatient register ,DV_403:05 Outpatient register ,NONE,TRACKER,,BOOLEAN,,FALSE,,OzshuDqmXQI,,,,
,Y31xNQoTo97,DV_403:06 Electronic patient record system ,DV_403:06 Electronic patient record system ,COUNT,TRACKER,,BOOLEAN,DV_403:06 Electronic patient record system ,FALSE,,OzshuDqmXQI,,,,
,eMyli0qR0d1,DV_403:07 Other,DV_403:07 Other,COUNT,TRACKER,,LONG_TEXT,DV_403:07 Other,FALSE,,OzshuDqmXQI,,,,
,GlANazvu8ky,DV_403 Which of the following documents are used at this facility to record the total number of TB cases (all types):,DV_403Which of the following documents are used at,SUM,TRACKER,,BOOLEAN,DV_403 Which of the following documents are used at this facility to record the total number of TB cases (all types):,FALSE,,OzshuDqmXQI,,,,
,zAE5RJOUSU4,DV_404 Other Specify,DV_404 Other Specify,NONE,TRACKER,,LONG_TEXT,,FALSE,,OzshuDqmXQI,,,,
,ORLKtl1jywN,DV_404 What is the source document used by this facility for quarterly reporting of notified TB cases? We are primarily interested in the main document that is used for compiling quarterly summary statistics for total number of TB,DV_404 What is the source document used by this fa,COUNT,TRACKER,,TEXT,DV_404 What is the source document used by this facility for quarterly reporting of notified TB cases? We are primarily interested in the main document that is used for compiling quarterly summary statistics for total number of TB,FALSE,,OzshuDqmXQI,,,,
,SZ86on1h7oX,DV_405:01 Year of registration,DV_405:01 Year of registration,COUNT,TRACKER,,INTEGER,DV_405:01 Year of registration,FALSE,,OzshuDqmXQI,,,,
,DBWqX4FXStT,DV_405:02 Sex,DV_405:02 Sex,COUNT,TRACKER,,INTEGER,DV_405:02 Sex,FALSE,,OzshuDqmXQI,,,,
,IhcrlrV0sYw,DV_405:03 Age ,DV_405:03 Age ,COUNT,TRACKER,,INTEGER,DV_405:03 Age ,FALSE,,OzshuDqmXQI,,,,
,AtxiqfycsF1,DV_405:04 Disease classification/Anatomical site of disease,DV_405:04 Disease classification/Anatomical site o,COUNT,TRACKER,,INTEGER,DV_405:04 Disease classification/Anatomical site of disease,FALSE,,OzshuDqmXQI,,,,
,XIP0A3GsrN5,DV_405:05 Type of patient /History of previous TB treatment/Patient registration group,DV_405:05 Type of patient /History of previous TB ,COUNT,TRACKER,,INTEGER,DV_405:05 Type of patient /History of previous TB treatment/Patient registration group,FALSE,,OzshuDqmXQI,,,,
,dcdys6lkELa,DV_405:06 Bacteriological results,DV_405:06 Bacteriological results,COUNT,TRACKER,,INTEGER,DV_405:06 Bacteriological results,FALSE,,OzshuDqmXQI,,,,
,m22sr4W4n43,DV_405:07 Number of cases missing data in at least 1 of the 6 columns listed above,DV_405:07 Number of cases missing data in at least,COUNT,TRACKER,,INTEGER,DV_405:07 Number of cases missing data in at least 1 of the 6 columns listed above,FALSE,,OzshuDqmXQI,,,,
,LVfCB1RCxyt,DV_405 MISSING DATA:ASK TO SEE THE TB REGISTER,DV_405MISSING DATA:ASK TO SEE THE TB REGISTER,SUM,TRACKER,,BOOLEAN,DV_405 MISSING DATA:ASK TO SEE THE TB REGISTER,FALSE,,OzshuDqmXQI,,,,
,hRvLCsrnaRk,DV_406 :01 Quarter (Month 1 to Month 3),DV_406 :01 Quarter (Month 1 to Month 3),COUNT,TRACKER,,INTEGER,DV_406 :01 Quarter (Month 1 to Month 3),FALSE,,OzshuDqmXQI,,,,
